"","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","GroupTravel","NoTripsLastYear","Destination","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessCost","AccessTime","Occupation","Income"
"203","ICN","Foreign","<=50","1","1","Leisure",5,1,"7","2",0,"3","2","1",61,3,"8",6000,120,"12","0"
"204","ICN","Foreign","<=50","2","1","Leisure",5,1,"7","2",2,"3","2","1",61,3,"8",6000,120,"12","0"
"205","ICN","Korean","<=50","1","5","Business",90,1,"8","2",4,"1","3","1",37,1,"5",8400,180,"2","30~80"
"206","ICN","Korean","<=50","1","2","Business",15,1,"8","2",7,"1","2","1",52,1,"6",8000,40,"1","30~80"
"207","ICN","Korean","<=50","2","2","Leisure",99,1,"8","2",4,"1","2","1",31,1,"1",8400,34,"9","80~150"
"208","ICN","Korean",">50","1","5","Business",7,2,"8","2",50,"3","3","1",75,1,"8",8400,150,"2","150~200>"
"209","ICN","Korean","<=50","2","1","Leisure",99,1,"8","2",0,"2","2","1",23,1,"1",8400,180,"9","80~150"
"210","ICN","Foreign","<=50","1","1","Leisure",4,2,"8","1",0,"3","3","3",40,1,"5",2700,40,"3","30~80"
"211","ICN","Foreign",">50","2","1","Business",99,0,"8","2",0,"3","4","1",27,1,"6",15000,100,"9","<=30"
"212","ICN","Korean","<=50","2","1","Leisure",15,2,"8","2",0,"2","4","1",27,1,"1",8400,180,"2","30~80"
"213","ICN","Foreign",">50","1","1","Business",5,1,"8","2",2,"1","3","1",53,1,"6",8400,180,"2","0"
"214","ICN","Korean","<=50","1","1","Leisure",365,2,"8","1",0,"2","3","1",48,1,"9",8400,180,"2","0"
"215","ICN","Foreign","<=50","2","1","Leisure",4,2,"8","1",0,"3","3","3",40,1,"5",2700,40,"9","0"
"216","ICN","Korean","<=50","2","1","Leisure",6,2,"8","2",0,"3","3","1",40,3,"5",8400,180,"2","80~150"
"217","ICN","Korean","<=50","1","4","Business",99,0,"8","2",1,"3","4","1",65,2,"1",8400,180,"12","0"
"218","ICN","Korean","<=50","2","5","Leisure",5,8,"8","2",5,"4","3","1",14,1,"5",8400,120,"3","30~80"
"219","ICN","Foreign","<=50","1","5","Leisure",10,1,"8","2",2,"4","2","2",50,1,"8",8400,180,"1","150~200>"
"220","ICN","Korean",">50","2","1","Business",3,0,"8","2",4,"2","3","1",50,1,"2",8400,180,"9","150~200>"
