"","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","NoTripsLastYear","FrequentFlightDestination","Destination","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessTime","Occupation","Income"
"243","2","1",65,"1","Korean","Leisure",4,2,"City",0,"Japan","Japan","2","Economic",60,1,"Public",40,"no income","30~150"
"244","2","4",56,"2","Korean","Leisure",5,2,"City",0,"SA","Japan","2","Economic",32.5,1,"Public",50,"no income","30~150"
"245","2","4",58,"2","Korean","Leisure",5,1,"City",0,"Japan","Japan","2","Economic",45.2051282051282,2,"Public",64,"no income","30~150"
"246","2","4",55,"2","Korean","Leisure",5,2,"City",0,"Others","Japan","2","Economic",32.5,2,"Personal",20,"no income","30~150"
"247","2","2",59,"1","Korean","Leisure",3,5,"City",0,"Japan","Japan","2","Economic",50,1,"Public",10,"w/income","30~150"
"248","2","4",61,"2","Korean","Leisure",3,0,"City",3,"SA","Japan","2","Economic",40,1,"Public",64,"no income","30~150"
"249","2","1",66,"2","Korean","Leisure",4,13,"City",1,"SA","China","2","Economic",48,1,"Other",120,"no income","30~150"
"250","2","1",53,"2","Korean","Leisure",4,2,"City",1,"China","China","1","Economic",35,1,"Personal",64,"w/income","30~150"
"251","2","4",59,"1","Korean","Leisure",3,0,"City",3,"China","Japan","2","Other",5,1,"Public",120,"no income","30~150"
"252","2","1",33,"1","Foreign","Other",7,1,"City",15,"China","China","2","Economic",48,2,"Personal",20,"w/income","30~150"
"253","2","4",46,"2","Korean","Other",1,2,"City",2,"Japan","Japan","2","Economic",40,1,"Personal",60,"w/income","30~150"
"254","2","2",42,"2","Korean","Leisure",4,3,"City",1,"Others","China","1","Economic",33,1,"Personal",64,"no income","30~150"
"255","2","4",43,"2","Korean","Other",3,4,"City",5,"Japan","Japan","2","Other",45.2051282051282,1,"Public",20,"w/income","30~150"
"256","2","4",30,"2","Foreign","Leisure",3,2,"City",0,"Japan","Japan","2","Economic",40,1,"Personal",30,"w/income","30~150"
"257","2","2",40,"1","Korean","Other",7,2,"City",10,"Japan","Japan","2","Economic",36,1,"Personal",60,"w/income","30~150"
"258","2","2",42,"1","Korean","Other",7,2,"City",10,"Japan","Japan","2","Other",36,1,"Personal",60,"w/income","30~150"
"259","2","1",25,"2","Korean","Other",99,0,"City",1,"China","China","2","Economic",37,1,"Personal",90,"no income","30~150"
"260","2","1",28,"1","Foreign","Leisure",4,5,"City",1,"Others","China","2","Economic",35,1,"Personal",20,"Other","150~200>"
"261","2","1",25,"1","Korean","Leisure",5,2,"City",0,"China","Japan","2","Economic",35,1,"Public",30,"no income","<=30"
"262","2","1",64,"2","Korean","Leisure",5,13,"City",1,"China","China","2","Economic",48,1,"Personal",64,"no income","30~150"
"263","2","1",64,"2","Korean","Leisure",4,13,"City",0,"China","Japan","2","Economic",53,1,"Public",60,"no income","30~150"
"264","2","2",64,"2","Korean","Leisure",2,1,"City",0,"Japan","Japan","3","Economic",45,1,"Public",120,"no income","30~150"
"265","2","2",32,"1","Korean","Other",90,1,"Others",2,"China","China","2","Economic",30,1,"Personal",80,"Other","00"
"266","2","2",62,"2","Korean","Leisure",4,6,"Others",1,"China","China","2","Economic",33,2,"Personal",20,"no income","30~150"
"267","2","2",35,"2","Korean","Leisure",4,6,"Others",1,"Others","China","2","Economic",33,2,"Personal",20,"Other","30~150"
"268","2","2",35,"1","Korean","Other",6,0,"Others",1,"SA","China","2","Economic",33,2,"Personal",20,"Other","30~150"
"269","2","4",40,"1","Korean","Other",120,7,"Others",6,"China","China","3","Other",89,1,"Personal",30,"w/income","150~200>"
"270","2","2",60,"2","Korean","Leisure",2,1,"Others",2,"Japan","Japan","2","Economic",36,2,"Public",180,"no income","30~150"
"271","2","3",53,"2","Korean","Leisure",4,4,"Others",1,"Others","Other","1","Other",60,3,"Public",305,"no income","<=30"
"272","2","1",21,"2","Korean","Leisure",4,20,"Others",1,"Japan","Japan","2","Economic",60,1,"Public",50,"no income","30~150"
"273","2","1",61,"2","Korean","Leisure",5,20,"Others",2,"Japan","Japan","2","Other",60,1,"Personal",40,"no income","00"
"274","2","1",46,"1","Korean","Leisure",4,10,"Others",0,"China","China","2","Economic",48,1,"Personal",120,"w/income","30~150"
"275","2","3",26,"2","Korean","Other",6,3,"Others",2,"SA","Other","1","Economic",50,1,"Public",180,"Other","30~150"
"276","2","4",51,"1","Foreign","Leisure",8,4,"Others",6,"SA","Other","1","Economic",11,1,"Public",120,"w/income","30~150"
"277","2","2",45,"2","Korean","Leisure",7,0,"Others",4,"Japan","Japan","2","Economic",70,1,"Personal",60,"Other","150~200>"
"278","2","4",26,"1","Foreign","Other",50,0,"Others",1,"China","China","3","Economic",30,1,"Public",40,"no income","<=30"
"279","2","4",19,"2","Foreign","Leisure",4,1,"Others",3,"Japan","China","3","Economic",55.25,1,"Public",60,"no income","30~150"
"280","2","2",60,"2","Korean","Other",365,0,"Others",2,"Japan","Japan","3","Economic",36,1,"Personal",40,"no income","00"
"281","2","4",45,"1","Foreign","Other",4,0,"Others",7,"Others","China","3","Economic",87,1,"Personal",30,"w/income","00"
"282","2","4",23,"2","Foreign","Leisure",7,1,"Others",0,"China","China","3","Economic",24,1,"Public",30,"w/income","30~150"
"283","2","1",50,"2","Korean","Leisure",5,1,"Others",5,"Japan","Japan","2","Economic",40,1,"Personal",30,"no income","30~150"
"284","2","2",17,"1","Korean","Other",7,1,"Others",1,"China","China","2","Economic",33,1,"Personal",60,"Other","00"
"285","2","2",50,"1","Korean","Other",3,0,"Others",10,"SA","Japan","3","Other",50,1,"Personal",60,"w/income","30~150"
"286","2","1",49,"2","Korean","Leisure",4,1,"Others",0,"Japan","Japan","2","Economic",53,1,"Personal",40,"w/income","00"
"287","2","3",60,"2","Korean","Other",5,0,"Others",12,"Japan","Japan","2","Economic",19,1,"Personal",20,"Other","30~150"
"288","2","4",40,"1","Foreign","Leisure",2,0,"Others",1,"Japan","Japan","3","Economic",45.2051282051282,1,"Public",40,"w/income","30~150"
"289","2","3",45,"2","Foreign","Other",5,1,"Others",1,"Japan","Japan","2","Economic",21,1,"Public",60,"w/income","00"
"290","2","4",24,"2","Foreign","Leisure",5,4,"Others",1,"Japan","China","3","Other",55.25,1,"Public",30,"w/income","00"
"291","2","2",34,"2","Korean","Leisure",5,2,"Others",2,"Japan","Japan","2","Economic",30,1,"Personal",40,"no income","30~150"
"292","2","4",27,"1","Foreign","Other",3,0,"Others",20,"Japan","Japan","3","Economic",45.2051282051282,1,"Personal",30,"Other","30~150"
"293","2","4",55,"2","Foreign","Leisure",3,2,"Others",2,"Japan","Japan","3","Economic",40,1,"Public",30,"no income","30~150"
