Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
ICN,Korean,<=50,1,1,Leisure,6,1,3,2,1,3,2,1,40,2,5,1050,60,12,NA
ICN,Korean,<=50,2,1,Leisure,5,0,3,2,1,3,2,1,40,1,5,1050,60,2,NA
ICN,Korean,<=50,1,1,Leisure,5,10,3,2,0,3,2,3,52,1,7,4300,53,2,2
ICN,Foreign,>50,2,1,Leisure,5,26,3,1,2,3,3,1,3,2,2,2500,76,12,NA
ICN,Korean,>50,2,1,Leisure,5,2,3,2,1,3,3,1,52,1,6,1630,76,11,1
ICN,Korean,>50,1,1,Leisure,5,2,3,2,1,3,3,1,52,1,6,12642,120,11,1
ICN,Foreign,>50,2,1,Leisure,5,26,3,1,2,3,3,1,3,2,2,2500,76,12,NA
ICN,Korean,<=50,2,1,Leisure,5,1,3,2,2,3,2,1,50,1,6,12000,100,2,4
ICN,Korean,<=50,1,1,Business,9,1,3,2,1,4,3,1,100,2,8,3000,60,12,NA
ICN,Korean,<=50,2,1,Leisure,5,4,3,1,2,1,3,1,41,1,6,12000,90,3,2
ICN,Korean,<=50,1,1,Business,9,2,3,2,1,4,3,1,120,1,6,1630,76,2,3
ICN,Korean,<=50,1,1,Business,7,1,3,1,9,3,3,1,53,1,9,350000,80,12,3
ICN,Korean,<=50,1,1,Leisure,6,1,3,2,1,3,3,1,40,1,6,10000,60,2,3
ICN,Korean,<=50,2,1,Leisure,7,2,3,2,2,3,1,1,52,1,1,1630,76,3,NA
ICN,Korean,<=50,1,1,Business,60,1,3,2,10,1,3,1,30,2,3,1050,30,12,NA
ICN,Korean,<=50,1,1,Leisure,7,2,3,2,0,3,3,1,56,2,3,2000,60,12,NA
ICN,Korean,>50,2,1,Leisure,5,2,3,2,2,1,2,1,28,2,3,2000,30,12,NA
ICN,Korean,<=50,1,4,Leisure,7,2,3,2,1,3,2,1,70,2,2,10000,20,12,NA
ICN,Foreign,<=50,2,1,Leisure,20,2,3,1,3,1,3,1,35,2,4,4157,60,12,NA
ICN,Foreign,>50,2,1,Leisure,6,12,3,1,1,3,1,3,40,2,2,8500,30,12,NA
ICN,Korean,<=50,2,1,Leisure,5,3,3,2,1,2,2,1,11,1,1,30000,90,7,4
